Clicked index:1 type:rot_bbox | zoom:2.1113777 pan-x:-332.0304 | scr-x:512.5207 scr-w:316.70667 cx:670.874 cy:595.76575 hw-f:158.35333
Clicked index:1 type:rot_bbox | zoom:2.1113777 pan-x:-332.0304 | scr-x:512.5207 scr-w:316.70667 cx:670.874 cy:595.76575 hw-f:158.35333
Clicked index:0 type:bbox | zoom:2.1113777 pan-x:-332.0304 | scr-x:-120.892624 scr-w:422.27554 cx:90.24515 cy:226.27466 hw-f:211.13777
Clicked index:2 type:point | zoom:2.1113777 pan-x:-332.0304 | scr-x:934.79626 scr-w:0 cx:934.79626 cy:279.05908 hw-f:0
Clicked index:1 type:rot_bbox | zoom:2.1113777 pan-x:-332.0304 | scr-x:512.5207 scr-w:316.70667 cx:670.874 cy:595.76575 hw-f:158.35333
Clicked index:1 type:rot_bbox | zoom:2.1113777 pan-x:-332.0304 | scr-x:512.5207 scr-w:316.70667 cx:670.874 cy:595.76575 hw-f:158.35333
Clicked index:1 type:rot_bbox | zoom:2.1113777 pan-x:-332.0304 | scr-x:512.5207 scr-w:316.70667 cx:670.874 cy:595.76575 hw-f:158.35333
Clicked index:1 type:rot_bbox | zoom:2.1113777 pan-x:-332.0304 | scr-x:512.5207 scr-w:316.70667 cx:670.874 cy:595.76575 hw-f:158.35333
Clicked index:1 type:rot_bbox | zoom:2.1113777 pan-x:-332.0304 | scr-x:512.5207 scr-w:316.70667 cx:670.874 cy:595.76575 hw-f:158.35333
Clicked index:2 type:point | zoom:2.1113777 pan-x:-332.0304 | scr-x:934.79626 scr-w:0 cx:934.79626 cy:279.05908 hw-f:0
Clicked index:1 type:rot_bbox | zoom:2.1113777 pan-x:-332.0304 | scr-x:512.5207 scr-w:316.70667 cx:670.874 cy:595.76575 hw-f:158.35333
